City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Loiza,PR,18.4313,-65.8802,75.87,90,75,4.61,broken clouds
79,Olinda,BR,-8.0089,-34.8553,80.33,78,40,8.05,scattered clouds
80,Mokhotlong,LS,-29.2894,29.0675,66.92,57,3,2.68,clear sky
81,Tooele,US,40.5308,-112.2983,37.63,69,0,8.05,clear sky
82,Acajutla,SV,13.5928,-89.8275,77.81,77,43,2.77,scattered clouds
83,Hobyo,SO,5.3505,48.5268,81.37,53,9,19.01,clear sky
84,Roma,US,43.2128,-75.4557,23.67,75,100,6.91,overcast clouds
85,Provideniya,RU,64.3833,-173.3,-9.47,91,5,4.79,clear sky
86,Longyearbyen,SJ,78.2186,15.6401,12.04,85,75,2.3,broken clouds
87,Taltal,CL,-25.4,-70.4833,65.97,82,83,1.23,broken clouds
88,Dombarovskiy,RU,50.7587,59.5386,20.89,93,100,2.06,overcast clouds
89,New Norfolk,AU,-42.7826,147.0587,77.88,40,100,4.0,light rain
90,Lebu,CL,-37.6167,-73.65,56.53,91,100,5.08,overcast clouds
91,Noumea,NC,-22.2763,166.4572,84.0,99,100,12.97,overcast clouds
92,Caravelas,BR,-17.7125,-39.2481,74.97,86,100,2.08,overcast clouds
93,Anshun,CN,26.25,105.9333,47.95,68,64,2.86,broken clouds
94,Jamestown,US,42.097,-79.2353,20.52,85,100,10.36,mist
95,Champerico,GT,14.3,-91.9167,80.04,75,100,5.7,overcast clouds
96,Sorong,ID,-0.8833,131.25,82.89,70,27,4.85,moderate rain
97,Hofn,IS,64.2539,-15.2082,21.24,69,0,18.45,clear sky
98,Deputatskiy,RU,69.3,139.9,-11.18,94,100,6.26,overcast clouds
99,Samoylovka,RU,51.184,43.7081,16.23,94,35,9.1,scattered clouds
100,Avarua,CK,-21.2078,-159.775,77.05,94,95,2.3,overcast clouds
101,Thompson,CA,55.7435,-97.8558,-23.64,76,75,0.0,broken clouds
102,Vardo,NO,70.3705,31.1107,24.33,75,3,18.03,clear sky
103,Akhmim,EG,26.5622,31.745,63.01,29,0,4.81,clear sky
104,Mfou,CM,3.7159,11.6427,69.66,94,40,0.0,mist
105,Nouadhibou,MR,20.931,-17.0347,62.58,72,97,18.41,overcast clouds
106,Airai,TL,-8.9266,125.4092,69.62,77,84,2.28,moderate rain
107,Aguimes,ES,27.9054,-15.4461,57.83,72,20,15.01,few clouds
108,Albany,US,42.6001,-73.9662,28.8,68,100,1.01,overcast clouds
